Political Geography,Year,Fossil Fuel Energy and Cement Manufacture,Fossil Fuel Energy (Supplied),Fossil Fuel Energy (Consumed),Stat Difference (Supplied - Consumed),"Electric, CHP, Heat Plants",Energy Industries' Own Use,"Manufact, Constr, Non-Fuel Industry",Transport,Road Transport,Rail Transport,Domestic Aviation,Domestic Navigation,Other Transport,Household,"Agriculture, Forestry, Fishing",Commerce and Public Services,NES Other Consumption,Bunkered,Bunkered (Marine),Bunkered (Aviation),Flaring of Natural Gas,Manufacture of Cement,Per Capita Total Emissions,REGION
THAILAND,2020,75175,70860.0,66306.0,4554.0,21605.0,5831.0,13661.0,21554.0,20923.0,71.0,383.0,177.0,,1366.0,1879.0,410.0,,2333.0,885.0,1448.0,,4315.0,1.0,ASIA PACIFIC
TIMOR-LESTE (FORMERLY EAST TIMOR),2020,179,,179.0,,79.0,,,80.0,30.0,,,,50.0,,,,1.0,3.0,,3.0,19.0,,,ASIA PACIFIC
TOGO,2020,587,414.0,416.0,-2.0,64.0,,42.0,291.0,287.0,,4.0,,,17.0,,2.0,,45.0,,45.0,,173.0,,AFRICA
TONGA,2020,50,,51.0,,13.0,,,36.0,15.0,,,,21.0,2.0,,,,,,,,,,ASIA PACIFIC
TRINIDAD AND TOBAGO,2020,9456,9391.0,3949.0,5442.0,1290.0,1482.0,448.0,614.0,577.0,,37.0,,,111.0,,4.0,,136.0,67.0,69.0,,65.0,6.0,SOUTH AND CENTRAL AMERICA
TUNISIA,2020,7523,6760.0,6808.0,-48.0,2435.0,130.0,1186.0,1891.0,1801.0,8.0,2.0,,80.0,613.0,311.0,174.0,,92.0,6.0,86.0,68.0,763.0,1.0,AFRICA
TURKEY,2020,107313,96302.0,92958.0,3344.0,35547.0,2536.0,15829.0,21308.0,20239.0,77.0,568.0,333.0,91.0,9139.0,2721.0,5876.0,,2023.0,457.0,1566.0,2.0,11011.0,1.0,EUROPE
TURKMENISTAN,2020,17645,17423.0,16675.0,748.0,4368.0,1380.0,226.0,3251.0,2131.0,,85.0,,1035.0,126.0,,3548.0,3776.0,137.0,,137.0,,222.0,3.0,COMMONWEALTH OF INDEPENDENT STATES
TURKS AND CAICOS ISLANDS,2020,98,,99.0,,55.0,,,40.0,38.0,,,2.0,,4.0,,,,21.0,,21.0,,,2.0,SOUTH AND CENTRAL AMERICA
TUVALU,2020,3,,2.0,,2.0,,,,,,,,,,,,,,,,,,,ASIA PACIFIC
UGANDA,2020,1777,1359.0,1386.0,-27.0,13.0,,308.0,916.0,857.0,30.0,,29.0,,13.0,133.0,3.0,,48.0,,48.0,,418.0,,AFRICA
UKRAINE,2020,47790,46704.0,38545.0,8159.0,18776.0,950.0,6653.0,5922.0,5421.0,21.0,,80.0,400.0,4234.0,916.0,1094.0,,28.0,28.0,,,1086.0,1.0,EUROPE
UNITED ARAB EMIRATES,2020,62271,60449.0,48571.0,11878.0,19246.0,618.0,19921.0,8199.0,7940.0,,259.0,,,253.0,,,,17882.0,14088.0,3794.0,334.0,1822.0,7.0,MIDDLE EAST
UNITED KINGDOM,2020,82709,81723.0,79822.0,1901.0,14976.0,5760.0,7659.0,26896.0,25786.0,453.0,293.0,364.0,,16844.0,740.0,5481.0,796.0,5571.0,1601.0,3970.0,670.0,986.0,1.0,EUROPE
UNITED REPUBLIC OF TANZANIA,2020,3907,3181.0,3215.0,-34.0,702.0,,607.0,1751.0,1733.0,,18.0,,,133.0,21.0,,,63.0,6.0,57.0,1.0,726.0,,AFRICA
UNITED STATES OF AMERICA,2020,1223749,1212645.0,1172807.0,39838.0,403164.0,64133.0,113636.0,439324.0,380829.0,8995.0,29423.0,5283.0,14794.0,80142.0,9930.0,56308.0,,26358.0,13640.0,12718.0,6170.0,11104.0,4.0,NORTH AMERICA
URUGUAY,2020,1764,1679.0,1712.0,-33.0,141.0,103.0,208.0,1004.0,993.0,,3.0,8.0,,117.0,119.0,20.0,,120.0,84.0,36.0,,85.0,1.0,SOUTH AND CENTRAL AMERICA
UZBEKISTAN,2020,29701,28234.0,26195.0,2039.0,8762.0,1440.0,2775.0,4086.0,3740.0,89.0,4.0,,253.0,6028.0,165.0,1579.0,1360.0,95.0,,95.0,,1467.0,1.0,COMMONWEALTH OF INDEPENDENT STATES
VANUATU,2020,55,,56.0,,11.0,,,43.0,40.0,,,3.0,,2.0,,,,13.0,4.0,9.0,,,,ASIA PACIFIC
VENEZUELA,2020,19615,19464.0,21327.0,-1863.0,1892.0,3545.0,2167.0,5990.0,5939.0,,45.0,,6.0,446.0,,167.0,,102.0,53.0,49.0,7120.0,151.0,1.0,SOUTH AND CENTRAL AMERICA
VIET NAM,2020,94323,82429.0,80152.0,2277.0,38314.0,812.0,26003.0,9575.0,8316.0,40.0,832.0,373.0,14.0,1943.0,448.0,1451.0,1606.0,855.0,125.0,730.0,,11894.0,1.0,ASIA PACIFIC
WALLIS AND FUTUNA ISLANDS,2020,7,,7.0,,4.0,,,2.0,2.0,,,,,,,,1.0,1.0,,1.0,,,1.0,ASIA PACIFIC
YEMEN,2020,2569,2361.0,2315.0,46.0,505.0,100.0,300.0,726.0,726.0,,,,,569.0,50.0,65.0,,81.0,77.0,4.0,,208.0,,MIDDLE EAST
ZAMBIA,2020,2240,1927.0,1939.0,-12.0,761.0,6.0,373.0,671.0,671.0,,,,,7.0,32.0,19.0,70.0,15.0,,15.0,,313.0,,AFRICA
ZIMBABWE,2020,2150,2007.0,2045.0,-38.0,993.0,28.0,263.0,547.0,516.0,31.0,,,,54.0,83.0,,77.0,15.0,,15.0,,143.0,,AFRICA
